( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m^2]
478   9.540000e-002   -5.611305e+013
479   9.560000e-002   -5.631628e+013
480   9.580000e-002   -5.651872e+013
481   9.600000e-002   -5.672046e+013
482   9.620000e-002   -5.692150e+013
483   9.640000e-002   -5.712185e+013
484   9.660000e-002   -5.732146e+013
485   9.680000e-002   -5.752026e+013
486   9.700000e-002   -5.771814e+013
487   9.720000e-002   -5.791494e+013
488   9.740000e-002   -5.811046e+013
489   9.760000e-002   -5.830449e+013
490   9.780000e-002   -5.849680e+013
491   9.800000e-002   -5.868712e+013
492   9.820000e-002   -5.887520e+013
493   9.840000e-002   -5.906081e+013
494   9.860000e-002   -5.924356e+013
495   9.880000e-002   -5.942284e+013
496   9.900000e-002   -5.959803e+013
497   9.920000e-002   -5.976849e+013
498   9.940000e-002   -5.993362e+013
499   9.960000e-002   -6.009279e+013
500   9.980000e-002   -6.024537e+013
501   1.000000e-001   -6.039074e+013
